vectorization,kernel,degree,C,gamma,random_state,class_weight,train_precision_0,train_recall_0,train_f1_0,train_support_0,train_precision_1,train_recall_1,train_f1_1,train_support_1,train_accuracy,train_recall,train_precision,train_f1,train_mcc,test_precision_0,test_recall_0,test_f1_0,test_support_0,test_precision_1,test_recall_1,test_f1_1,test_support_1,test_accuracy,test_recall,test_precision,test_f1,test_mcc
glove,sigmoid,X,0.01,0.01,42,"{0: 1, 1: 3}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0,0.0
glove,sigmoid,X,0.01,0.01,44,"{0: 1, 1: 3}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0,0.0
glove,sigmoid,X,0.01,0.1,40,"{0: 1, 1: 3}",0.9319689082222063,0.9930851063829788,0.9615568553875584,13160,0.09900990099009901,0.01037344398340249,0.018779342723004692,964,0.92601246105919,0.01037344398340249,0.09900990099009901,0.018779342723004692,0.01035093097026893,0.9403532155948018,0.9924388957270969,0.9656942424501668,5687,0.17307692307692307,0.02452316076294278,0.042959427207637235,367,0.9337628014535844,0.02452316076294278,0.17307692307692307,0.042959427207637235,0.043863520376536465
glove,sigmoid,X,0.01,0.1,42,"{0: 1, 1: 3}",0.9319689082222063,0.9930851063829788,0.9615568553875584,13160,0.09900990099009901,0.01037344398340249,0.018779342723004692,964,0.92601246105919,0.01037344398340249,0.09900990099009901,0.018779342723004692,0.01035093097026893,0.9403532155948018,0.9924388957270969,0.9656942424501668,5687,0.17307692307692307,0.02452316076294278,0.042959427207637235,367,0.9337628014535844,0.02452316076294278,0.17307692307692307,0.042959427207637235,0.043863520376536465
glove,sigmoid,X,0.01,0.1,44,"{0: 1, 1: 3}",0.9319689082222063,0.9930851063829788,0.9615568553875584,13160,0.09900990099009901,0.01037344398340249,0.018779342723004692,964,0.92601246105919,0.01037344398340249,0.09900990099009901,0.018779342723004692,0.01035093097026893,0.9403532155948018,0.9924388957270969,0.9656942424501668,5687,0.17307692307692307,0.02452316076294278,0.042959427207637235,367,0.9337628014535844,0.02452316076294278,0.17307692307692307,0.042959427207637235,0.043863520376536465
glove,sigmoid,X,0.01,1.0,40,"{0: 1, 1: 3}",0.931728045325779,0.9996960486322188,0.9645161290322581,13160,0.0,0.0,0.0,964,0.9314641744548287,0.0,0.0,0.0,-0.004555365408430204,0.9393689079795143,0.9998241603657464,0.9686541737649063,5687,0.0,0.0,0.0,367,0.939213742979848,0.0,0.0,0.0,-0.003265172131033247
glove,sigmoid,X,0.01,1.0,42,"{0: 1, 1: 3}",0.931728045325779,0.9996960486322188,0.9645161290322581,13160,0.0,0.0,0.0,964,0.9314641744548287,0.0,0.0,0.0,-0.004555365408430204,0.9393689079795143,0.9998241603657464,0.9686541737649063,5687,0.0,0.0,0.0,367,0.939213742979848,0.0,0.0,0.0,-0.003265172131033247
glove,sigmoid,X,0.01,1.0,44,"{0: 1, 1: 3}",0.931728045325779,0.9996960486322188,0.9645161290322581,13160,0.0,0.0,0.0,964,0.9314641744548287,0.0,0.0,0.0,-0.004555365408430204,0.9393689079795143,0.9998241603657464,0.9686541737649063,5687,0.0,0.0,0.0,367,0.939213742979848,0.0,0.0,0.0,-0.003265172131033247
glove,sigmoid,X,0.01,0.01,40,"{0: 1, 1: 5}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0,0.0
glove,sigmoid,X,0.01,0.01,42,"{0: 1, 1: 5}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0,0.0
