vectorization,kernel,degree,C,gamma,random_state,class_weight,train_precision_0,train_recall_0,train_f1_0,train_support_0,train_precision_1,train_recall_1,train_f1_1,train_support_1,train_accuracy,train_recall,train_precision,train_f1,test_precision_0,test_recall_0,test_f1_0,test_support_0,test_precision_1,test_recall_1,test_f1_1,test_support_1,test_accuracy,test_recall,test_precision,test_f1
glove,poly,3,0.01,0.01,40,"{0: 1, 1: 3}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0
glove,poly,3,0.01,0.01,42,"{0: 1, 1: 3}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0
glove,poly,3,0.01,0.01,44,"{0: 1, 1: 3}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0
glove,poly,3,0.01,0.1,40,"{0: 1, 1: 3}",0.9480017502917153,0.9877659574468085,0.9674754391187853,13160,0.6092233009708737,0.2603734439834025,0.3648255813953488,964,0.938119512885868,0.2603734439834025,0.6092233009708737,0.3648255813953488,0.9534646739130435,0.98716370669949,0.9700215982721382,5687,0.5602409638554217,0.25340599455040874,0.34896810506566606,367,0.9426825239511067,0.25340599455040874,0.5602409638554217,0.34896810506566606
glove,poly,3,0.01,0.1,42,"{0: 1, 1: 3}",0.9480017502917153,0.9877659574468085,0.9674754391187853,13160,0.6092233009708737,0.2603734439834025,0.3648255813953488,964,0.938119512885868,0.2603734439834025,0.6092233009708737,0.3648255813953488,0.9534646739130435,0.98716370669949,0.9700215982721382,5687,0.5602409638554217,0.25340599455040874,0.34896810506566606,367,0.9426825239511067,0.25340599455040874,0.5602409638554217,0.34896810506566606
glove,poly,3,0.01,0.1,44,"{0: 1, 1: 3}",0.9480017502917153,0.9877659574468085,0.9674754391187853,13160,0.6092233009708737,0.2603734439834025,0.3648255813953488,964,0.938119512885868,0.2603734439834025,0.6092233009708737,0.3648255813953488,0.9534646739130435,0.98716370669949,0.9700215982721382,5687,0.5602409638554217,0.25340599455040874,0.34896810506566606,367,0.9426825239511067,0.25340599455040874,0.5602409638554217,0.34896810506566606
glove,poly,3,0.01,1.0,40,"{0: 1, 1: 3}",0.9998473748473748,0.9955927051671732,0.9977155041120926,13160,0.9431372549019608,0.9979253112033195,0.969758064516129,964,0.9957519116397621,0.9979253112033195,0.9431372549019608,0.969758064516129,0.9759743726641751,0.9643045542465272,0.9701043693614011,5687,0.5333333333333333,0.6321525885558583,0.5785536159600998,367,0.9441691443673604,0.6321525885558583,0.5333333333333333,0.5785536159600998
glove,poly,3,0.01,1.0,42,"{0: 1, 1: 3}",0.9998473748473748,0.9955927051671732,0.9977155041120926,13160,0.9431372549019608,0.9979253112033195,0.969758064516129,964,0.9957519116397621,0.9979253112033195,0.9431372549019608,0.969758064516129,0.9759743726641751,0.9643045542465272,0.9701043693614011,5687,0.5333333333333333,0.6321525885558583,0.5785536159600998,367,0.9441691443673604,0.6321525885558583,0.5333333333333333,0.5785536159600998
glove,poly,3,0.01,1.0,44,"{0: 1, 1: 3}",0.9998473748473748,0.9955927051671732,0.9977155041120926,13160,0.9431372549019608,0.9979253112033195,0.969758064516129,964,0.9957519116397621,0.9979253112033195,0.9431372549019608,0.969758064516129,0.9759743726641751,0.9643045542465272,0.9701043693614011,5687,0.5333333333333333,0.6321525885558583,0.5785536159600998,367,0.9441691443673604,0.6321525885558583,0.5333333333333333,0.5785536159600998
glove,poly,4,0.01,0.01,40,"{0: 1, 1: 3}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0
