vectorization,kernel,degree,C,gamma,random_state,class_weight,train_precision_0,train_recall_0,train_f1_0,train_support_0,train_precision_1,train_recall_1,train_f1_1,train_support_1,train_accuracy,train_recall,train_precision,train_f1,train_mcc,test_precision_0,test_recall_0,test_f1_0,test_support_0,test_precision_1,test_recall_1,test_f1_1,test_support_1,test_accuracy,test_recall,test_precision,test_f1,test_mcc
w2v,poly,4,0.01,0.01,42,"{0: 1, 1: 1}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0,0.0
w2v,poly,4,0.01,0.01,44,"{0: 1, 1: 1}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0,0.0
w2v,poly,4,0.01,0.1,40,"{0: 1, 1: 1}",0.9398313562955553,0.9993920972644377,0.9686970612064522,13160,0.9384615384615385,0.12655601659751037,0.22303473491773307,964,0.9398187482299631,0.12655601659751037,0.9384615384615385,0.22303473491773307,0.33259484889728286,0.9453697534976683,0.9980657640232108,0.9710033358994098,5687,0.78,0.10626702997275204,0.18705035971223022,367,0.94400396432111,0.10626702997275204,0.78,0.18705035971223022,0.2750997147628012
w2v,poly,4,0.01,0.1,42,"{0: 1, 1: 1}",0.9398313562955553,0.9993920972644377,0.9686970612064522,13160,0.9384615384615385,0.12655601659751037,0.22303473491773307,964,0.9398187482299631,0.12655601659751037,0.9384615384615385,0.22303473491773307,0.33259484889728286,0.9453697534976683,0.9980657640232108,0.9710033358994098,5687,0.78,0.10626702997275204,0.18705035971223022,367,0.94400396432111,0.10626702997275204,0.78,0.18705035971223022,0.2750997147628012
w2v,poly,4,0.01,0.1,44,"{0: 1, 1: 1}",0.9398313562955553,0.9993920972644377,0.9686970612064522,13160,0.9384615384615385,0.12655601659751037,0.22303473491773307,964,0.9398187482299631,0.12655601659751037,0.9384615384615385,0.22303473491773307,0.33259484889728286,0.9453697534976683,0.9980657640232108,0.9710033358994098,5687,0.78,0.10626702997275204,0.18705035971223022,367,0.94400396432111,0.10626702997275204,0.78,0.18705035971223022,0.2750997147628012
w2v,poly,4,0.01,1.0,40,"{0: 1, 1: 1}",0.997271693823418,0.9999240121580547,0.9985960918231835,13160,0.9989235737351991,0.9626556016597511,0.9804543053354464,964,0.9973803455111866,0.9626556016597511,0.9989235737351991,0.9804543053354464,0.9792432057122986,0.9675665881500272,0.9389836469140144,0.9530608602534356,5687,0.3514018691588785,0.5122615803814714,0.41685144124168516,367,0.9131152956722828,0.5122615803814714,0.3514018691588785,0.41685144124168516,0.37938502081453823
w2v,poly,4,0.01,1.0,42,"{0: 1, 1: 1}",0.997271693823418,0.9999240121580547,0.9985960918231835,13160,0.9989235737351991,0.9626556016597511,0.9804543053354464,964,0.9973803455111866,0.9626556016597511,0.9989235737351991,0.9804543053354464,0.9792432057122986,0.9675665881500272,0.9389836469140144,0.9530608602534356,5687,0.3514018691588785,0.5122615803814714,0.41685144124168516,367,0.9131152956722828,0.5122615803814714,0.3514018691588785,0.41685144124168516,0.37938502081453823
w2v,poly,4,0.01,1.0,44,"{0: 1, 1: 1}",0.997271693823418,0.9999240121580547,0.9985960918231835,13160,0.9989235737351991,0.9626556016597511,0.9804543053354464,964,0.9973803455111866,0.9626556016597511,0.9989235737351991,0.9804543053354464,0.9792432057122986,0.9675665881500272,0.9389836469140144,0.9530608602534356,5687,0.3514018691588785,0.5122615803814714,0.41685144124168516,367,0.9131152956722828,0.5122615803814714,0.3514018691588785,0.41685144124168516,0.37938502081453823
w2v,poly,5,0.01,0.01,40,"{0: 1, 1: 1}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0,0.0
w2v,poly,5,0.01,0.01,42,"{0: 1, 1: 1}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0,0.0
w2v,poly,5,0.01,0.01,44,"{0: 1, 1: 1}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0,0.0
w2v,poly,5,0.01,0.1,40,"{0: 1, 1: 1}",0.9454989933851021,0.9992401215805471,0.9716270134476134,13160,0.9537037037037037,0.21369294605809128,0.3491525423728814,964,0.945624468988955,0.21369294605809128,0.9537037037037037,0.3491525423728814,0.43757283818817727,0.9483914209115282,0.9952523298751539,0.9712569712569713,5687,0.686046511627907,0.16076294277929154,0.26048565121412803,367,0.9446646845061116,0.16076294277929154,0.686046511627907,0.26048565121412803,0.31461406044145995
w2v,poly,5,0.01,0.1,42,"{0: 1, 1: 1}",0.9454989933851021,0.9992401215805471,0.9716270134476134,13160,0.9537037037037037,0.21369294605809128,0.3491525423728814,964,0.945624468988955,0.21369294605809128,0.9537037037037037,0.3491525423728814,0.43757283818817727,0.9483914209115282,0.9952523298751539,0.9712569712569713,5687,0.686046511627907,0.16076294277929154,0.26048565121412803,367,0.9446646845061116,0.16076294277929154,0.686046511627907,0.26048565121412803,0.31461406044145995
w2v,poly,5,0.01,0.1,44,"{0: 1, 1: 1}",0.9454989933851021,0.9992401215805471,0.9716270134476134,13160,0.9537037037037037,0.21369294605809128,0.3491525423728814,964,0.945624468988955,0.21369294605809128,0.9537037037037037,0.3491525423728814,0.43757283818817727,0.9483914209115282,0.9952523298751539,0.9712569712569713,5687,0.686046511627907,0.16076294277929154,0.26048565121412803,367,0.9446646845061116,0.16076294277929154,0.686046511627907,0.26048565121412803,0.31461406044145995
w2v,poly,5,0.01,1.0,40,"{0: 1, 1: 1}",0.9991648318274998,1.0,0.9995822414644336,13160,1.0,0.9885892116182573,0.9942618675013042,964,0.9992211838006231,0.9885892116182573,1.0,0.9942618675013042,0.993862955026012,0.9662075298438935,0.9250923158079831,0.9452030183255479,5687,0.30049261083743845,0.4986376021798365,0.375,367,0.8992401717872481,0.4986376021798365,0.30049261083743845,0.375,0.3361678579790767
