vectorization,kernel,degree,C,gamma,class_weight,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1
tfidf,linear,X,0.1,0.01,"{0: 1, 1: 3}",0.9529009245104463,0.3602150537634409,0.8656330749354005,0.5087319665907366,0.9483695652173914,0.2700534759358289,0.7651515151515151,0.39920948616600793
tfidf,linear,X,0.1,0.1,"{0: 1, 1: 3}",0.9529009245104463,0.3602150537634409,0.8656330749354005,0.5087319665907366,0.9483695652173914,0.2700534759358289,0.7651515151515151,0.39920948616600793
tfidf,linear,X,0.1,0.1,"{0: 1, 1: 3}",0.9529009245104463,0.3602150537634409,0.8656330749354005,0.5087319665907366,0.9483695652173914,0.2700534759358289,0.7651515151515151,0.39920948616600793
tfidf,linear,X,0.1,0.1,"{0: 1, 1: 3}",0.9529009245104463,0.3602150537634409,0.8656330749354005,0.5087319665907366,0.9483695652173914,0.2700534759358289,0.7651515151515151,0.39920948616600793
tfidf,linear,X,0.1,1.0,"{0: 1, 1: 3}",0.9529009245104463,0.3602150537634409,0.8656330749354005,0.5087319665907366,0.9483695652173914,0.2700534759358289,0.7651515151515151,0.39920948616600793
tfidf,linear,X,0.1,1.0,"{0: 1, 1: 3}",0.9529009245104463,0.3602150537634409,0.8656330749354005,0.5087319665907366,0.9483695652173914,0.2700534759358289,0.7651515151515151,0.39920948616600793
tfidf,linear,X,0.1,1.0,"{0: 1, 1: 3}",0.9529009245104463,0.3602150537634409,0.8656330749354005,0.5087319665907366,0.9483695652173914,0.2700534759358289,0.7651515151515151,0.39920948616600793
tfidf,linear,X,0.1,0.01,"{0: 1, 1: 5}",0.9621460289728471,0.6075268817204301,0.7847222222222222,0.6848484848484848,0.9512567934782609,0.42513368983957217,0.6883116883116883,0.5256198347107437
tfidf,linear,X,0.1,0.01,"{0: 1, 1: 5}",0.9621460289728471,0.6075268817204301,0.7847222222222222,0.6848484848484848,0.9512567934782609,0.42513368983957217,0.6883116883116883,0.5256198347107437
tfidf,linear,X,0.1,0.01,"{0: 1, 1: 5}",0.9621460289728471,0.6075268817204301,0.7847222222222222,0.6848484848484848,0.9512567934782609,0.42513368983957217,0.6883116883116883,0.5256198347107437
tfidf,linear,X,0.1,0.1,"{0: 1, 1: 5}",0.9621460289728471,0.6075268817204301,0.7847222222222222,0.6848484848484848,0.9512567934782609,0.42513368983957217,0.6883116883116883,0.5256198347107437
tfidf,linear,X,0.1,0.1,"{0: 1, 1: 5}",0.9621460289728471,0.6075268817204301,0.7847222222222222,0.6848484848484848,0.9512567934782609,0.42513368983957217,0.6883116883116883,0.5256198347107437
tfidf,linear,X,0.1,0.1,"{0: 1, 1: 5}",0.9621460289728471,0.6075268817204301,0.7847222222222222,0.6848484848484848,0.9512567934782609,0.42513368983957217,0.6883116883116883,0.5256198347107437
tfidf,linear,X,0.1,1.0,"{0: 1, 1: 5}",0.9621460289728471,0.6075268817204301,0.7847222222222222,0.6848484848484848,0.9512567934782609,0.42513368983957217,0.6883116883116883,0.5256198347107437
tfidf,linear,X,0.1,1.0,"{0: 1, 1: 5}",0.9621460289728471,0.6075268817204301,0.7847222222222222,0.6848484848484848,0.9512567934782609,0.42513368983957217,0.6883116883116883,0.5256198347107437
tfidf,linear,X,0.1,1.0,"{0: 1, 1: 5}",0.9621460289728471,0.6075268817204301,0.7847222222222222,0.6848484848484848,0.9512567934782609,0.42513368983957217,0.6883116883116883,0.5256198347107437
tfidf,linear,X,1.0,0.01,"{0: 1, 1: 1}",0.9663682026643372,0.5182795698924731,0.9717741935483871,0.6760168302945302,0.9539741847826086,0.32620320855614976,0.8652482269503546,0.4737864077669903
tfidf,linear,X,1.0,0.01,"{0: 1, 1: 1}",0.9663682026643372,0.5182795698924731,0.9717741935483871,0.6760168302945302,0.9539741847826086,0.32620320855614976,0.8652482269503546,0.4737864077669903
tfidf,linear,X,1.0,0.01,"{0: 1, 1: 1}",0.9663682026643372,0.5182795698924731,0.9717741935483871,0.6760168302945302,0.9539741847826086,0.32620320855614976,0.8652482269503546,0.4737864077669903
