vectorization,kernel,degree,C,gamma,class_weight,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1
w2v,rbf,X,0.1,0.01,"{0: 1, 1: 3}",0.938898329085245,0.42531120331950206,0.5702364394993046,0.4872251931075461,0.9441691443673604,0.4196185286103542,0.5519713261648745,0.47678018575851394
w2v,rbf,X,0.1,0.01,"{0: 1, 1: 3}",0.938898329085245,0.42531120331950206,0.5702364394993046,0.4872251931075461,0.9441691443673604,0.4196185286103542,0.5519713261648745,0.47678018575851394
w2v,rbf,X,0.1,0.1,"{0: 1, 1: 3}",0.9433588218634947,0.508298755186722,0.6004901960784313,0.5505617977528089,0.9466468450611166,0.5040871934604905,0.5674846625766872,0.533910533910534
w2v,rbf,X,0.1,0.1,"{0: 1, 1: 3}",0.9433588218634947,0.508298755186722,0.6004901960784313,0.5505617977528089,0.9466468450611166,0.5040871934604905,0.5674846625766872,0.533910533910534
w2v,rbf,X,0.1,0.1,"{0: 1, 1: 3}",0.9433588218634947,0.508298755186722,0.6004901960784313,0.5505617977528089,0.9466468450611166,0.5040871934604905,0.5674846625766872,0.533910533910534
w2v,rbf,X,0.1,1.0,"{0: 1, 1: 3}",0.9376239025771737,0.11825726141078838,0.7862068965517242,0.20559062218214608,0.9400396432111001,0.05994550408719346,0.55,0.1081081081081081
w2v,rbf,X,0.1,1.0,"{0: 1, 1: 3}",0.9376239025771737,0.11825726141078838,0.7862068965517242,0.20559062218214608,0.9400396432111001,0.05994550408719346,0.55,0.1081081081081081
w2v,rbf,X,0.1,1.0,"{0: 1, 1: 3}",0.9376239025771737,0.11825726141078838,0.7862068965517242,0.20559062218214608,0.9400396432111001,0.05994550408719346,0.55,0.1081081081081081
w2v,rbf,X,1.0,0.01,"{0: 1, 1: 1}",0.9362786745964317,0.06950207468879668,0.9571428571428572,0.12959381044487425,0.942021803766105,0.04632152588555858,0.9444444444444444,0.0883116883116883
w2v,rbf,X,1.0,0.01,"{0: 1, 1: 1}",0.9362786745964317,0.06950207468879668,0.9571428571428572,0.12959381044487425,0.942021803766105,0.04632152588555858,0.9444444444444444,0.0883116883116883
w2v,rbf,X,1.0,0.01,"{0: 1, 1: 1}",0.9362786745964317,0.06950207468879668,0.9571428571428572,0.12959381044487425,0.942021803766105,0.04632152588555858,0.9444444444444444,0.0883116883116883
w2v,rbf,X,1.0,0.1,"{0: 1, 1: 1}",0.9537666383460776,0.37655601659751037,0.8746987951807229,0.5264684554024655,0.9506111661711265,0.3079019073569482,0.7151898734177216,0.4304761904761905
w2v,rbf,X,1.0,0.1,"{0: 1, 1: 1}",0.9537666383460776,0.37655601659751037,0.8746987951807229,0.5264684554024655,0.9506111661711265,0.3079019073569482,0.7151898734177216,0.4304761904761905
w2v,rbf,X,1.0,0.1,"{0: 1, 1: 1}",0.9537666383460776,0.37655601659751037,0.8746987951807229,0.5264684554024655,0.9506111661711265,0.3079019073569482,0.7151898734177216,0.4304761904761905
w2v,rbf,X,1.0,1.0,"{0: 1, 1: 1}",0.9951854998583971,0.9315352697095436,0.9977777777777778,0.9635193133047211,0.9438387842748596,0.10899182561307902,0.7547169811320755,0.19047619047619047
w2v,rbf,X,1.0,1.0,"{0: 1, 1: 1}",0.9951854998583971,0.9315352697095436,0.9977777777777778,0.9635193133047211,0.9438387842748596,0.10899182561307902,0.7547169811320755,0.19047619047619047
w2v,rbf,X,1.0,1.0,"{0: 1, 1: 1}",0.9951854998583971,0.9315352697095436,0.9977777777777778,0.9635193133047211,0.9438387842748596,0.10899182561307902,0.7547169811320755,0.19047619047619047
w2v,rbf,X,1.0,0.01,"{0: 1, 1: 3}",0.9408807703200227,0.5155601659751037,0.5745664739884393,0.5434663750683434,0.9441691443673604,0.5149863760217984,0.5415472779369628,0.5279329608938548
w2v,rbf,X,1.0,0.01,"{0: 1, 1: 3}",0.9408807703200227,0.5155601659751037,0.5745664739884393,0.5434663750683434,0.9441691443673604,0.5149863760217984,0.5415472779369628,0.5279329608938548
w2v,rbf,X,1.0,0.01,"{0: 1, 1: 3}",0.9408807703200227,0.5155601659751037,0.5745664739884393,0.5434663750683434,0.9441691443673604,0.5149863760217984,0.5415472779369628,0.5279329608938548
w2v,rbf,X,1.0,0.1,"{0: 1, 1: 3}",0.9614839988671764,0.7645228215767634,0.6992409867172675,0.7304261645193261,0.9449950445986125,0.5831062670299727,0.5431472081218274,0.5624178712220762
w2v,rbf,X,1.0,0.1,"{0: 1, 1: 3}",0.9614839988671764,0.7645228215767634,0.6992409867172675,0.7304261645193261,0.9449950445986125,0.5831062670299727,0.5431472081218274,0.5624178712220762
w2v,rbf,X,1.0,0.1,"{0: 1, 1: 3}",0.9614839988671764,0.7645228215767634,0.6992409867172675,0.7304261645193261,0.9449950445986125,0.5831062670299727,0.5431472081218274,0.5624178712220762
w2v,rbf,X,1.0,1.0,"{0: 1, 1: 3}",0.9984423676012462,0.9979253112033195,0.9796334012219959,0.9886947584789313,0.9449950445986125,0.1771117166212534,0.6770833333333334,0.2807775377969763
w2v,rbf,X,1.0,1.0,"{0: 1, 1: 3}",0.9984423676012462,0.9979253112033195,0.9796334012219959,0.9886947584789313,0.9449950445986125,0.1771117166212534,0.6770833333333334,0.2807775377969763
w2v,rbf,X,1.0,1.0,"{0: 1, 1: 3}",0.9984423676012462,0.9979253112033195,0.9796334012219959,0.9886947584789313,0.9449950445986125,0.1771117166212534,0.6770833333333334,0.2807775377969763
w2v,rbf,X,1.0,0.01,"{0: 1, 1: 3}",0.9408807703200227,0.5155601659751037,0.5745664739884393,0.5434663750683434,0.9441691443673604,0.5149863760217984,0.5415472779369628,0.5279329608938548
w2v,rbf,X,1.0,0.01,"{0: 1, 1: 3}",0.9408807703200227,0.5155601659751037,0.5745664739884393,0.5434663750683434,0.9441691443673604,0.5149863760217984,0.5415472779369628,0.5279329608938548
w2v,rbf,X,1.0,0.01,"{0: 1, 1: 3}",0.9408807703200227,0.5155601659751037,0.5745664739884393,0.5434663750683434,0.9441691443673604,0.5149863760217984,0.5415472779369628,0.5279329608938548
w2v,rbf,X,1.0,0.1,"{0: 1, 1: 3}",0.9614839988671764,0.7645228215767634,0.6992409867172675,0.7304261645193261,0.9449950445986125,0.5831062670299727,0.5431472081218274,0.5624178712220762
w2v,rbf,X,1.0,0.1,"{0: 1, 1: 3}",0.9614839988671764,0.7645228215767634,0.6992409867172675,0.7304261645193261,0.9449950445986125,0.5831062670299727,0.5431472081218274,0.5624178712220762
w2v,rbf,X,1.0,0.1,"{0: 1, 1: 3}",0.9614839988671764,0.7645228215767634,0.6992409867172675,0.7304261645193261,0.9449950445986125,0.5831062670299727,0.5431472081218274,0.5624178712220762
w2v,rbf,X,1.0,1.0,"{0: 1, 1: 3}",0.9984423676012462,0.9979253112033195,0.9796334012219959,0.9886947584789313,0.9449950445986125,0.1771117166212534,0.6770833333333334,0.2807775377969763
w2v,rbf,X,1.0,1.0,"{0: 1, 1: 3}",0.9984423676012462,0.9979253112033195,0.9796334012219959,0.9886947584789313,0.9449950445986125,0.1771117166212534,0.6770833333333334,0.2807775377969763
w2v,rbf,X,1.0,1.0,"{0: 1, 1: 3}",0.9984423676012462,0.9979253112033195,0.9796334012219959,0.9886947584789313,0.9449950445986125,0.1771117166212534,0.6770833333333334,0.2807775377969763
